dteday,holiday,weekday,workingday,weathersit,temp,hum,windspeed,registered,casual
09/02/2012,0,4,1,1,0.265,0.562083,0.194037,3667,163
27/12/2012,0,4,1,2,0.254167,0.652917,0.350133,1867,247
09/06/2011,0,4,1,2,0.808333,0.568333,0.149883,3352,563
27/02/2012,0,1,1,1,0.366667,0.490833,0.268033,4069,253
27/05/2012,0,0,0,1,0.69,0.697083,0.215171,3308,3283
30/08/2011,0,2,1,1,0.639167,0.548333,0.125008,4429,775
29/11/2012,0,4,1,1,0.28087,0.555652,0.115522,5080,243
05/09/2011,1,1,0,2,0.673333,0.790417,0.212696,2115,1236
22/12/2011,0,4,1,2,0.423333,0.7575,0.047275,2841,227
12/06/2012,0,2,1,2,0.653333,0.833333,0.214546,4495,477
01/05/2011,0,0,0,2,0.451667,0.762083,0.106354,2213,1138
11/03/2011,0,5,1,2,0.316522,0.649565,0.23297,1730,247
09/01/2011,0,0,0,1,0.138333,0.434167,0.36195,768,54
31/12/2011,0,6,0,1,0.41,0.615833,0.220154,1820,665
08/06/2012,0,5,1,1,0.649167,0.467917,0.175383,6248,1488
04/01/2012,0,3,1,2,0.1075,0.414583,0.1847,2273,95
30/06/2011,0,4,1,1,0.696667,0.434167,0.185312,4488,1027
10/05/2012,0,4,1,1,0.505833,0.552083,0.314063,5546,1026
17/09/2011,0,6,0,2,0.491667,0.718333,0.189675,3077,1434
21/05/2012,0,1,1,2,0.598333,0.81125,0.233204,3729,630
01/03/2011,0,2,1,1,0.266667,0.535,0.216425,1714,137
27/06/2012,0,3,1,1,0.6975,0.36,0.271775,6258,1077
22/08/2011,0,1,1,1,0.691667,0.47,0.27675,3925,833
19/02/2012,0,0,0,2,0.28,0.515833,0.253112,2071,618
11/06/2011,0,6,0,1,0.725,0.654583,0.15485,3237,1729
10/03/2012,0,6,0,1,0.2875,0.350417,0.22575,3150,968
04/08/2012,0,6,0,1,0.793333,0.613333,0.257458,4479,2345
07/02/2012,0,2,1,1,0.354167,0.49625,0.147379,4176,199
26/02/2012,0,0,0,1,0.279167,0.41,0.205229,2874,515
17/02/2011,0,4,1,1,0.435833,0.505,0.230104,2216,259
25/12/2011,0,0,0,1,0.274783,0.681304,0.155091,451,303
13/12/2011,0,2,1,1,0.2825,0.59,0.14055,3368,155
22/04/2011,0,5,1,2,0.336667,0.729583,0.219521,1506,177
22/12/2012,0,6,0,1,0.265833,0.44125,0.407346,1544,205
05/07/2012,0,4,1,1,0.8275,0.457917,0.194029,4836,1405
17/10/2011,0,1,1,1,0.534167,0.579583,0.175379,3857,713
24/01/2011,0,1,1,1,0.0973913,0.491739,0.15833,1330,86
11/11/2011,1,5,0,1,0.324167,0.44625,0.314675,2928,440
19/07/2012,0,4,1,1,0.77,0.600417,0.165429,5703,888
28/01/2012,0,6,0,1,0.315833,0.543333,0.210829,3248,775
15/05/2011,0,0,0,2,0.5625,0.867083,0.152979,2971,1582
16/05/2012,0,3,1,1,0.636667,0.697917,0.122512,6433,991
07/07/2012,0,6,0,1,0.861667,0.492083,0.163554,3392,1448
08/05/2012,0,2,1,2,0.581667,0.685833,0.296029,4990,738
25/06/2011,0,6,0,1,0.695,0.483333,0.209571,3420,1782
09/05/2012,0,3,1,2,0.575,0.744167,0.216412,4097,620
31/05/2012,0,4,1,1,0.68,0.492917,0.195279,6238,1100
07/11/2011,0,1,1,1,0.395,0.75875,0.057225,3662,373
24/11/2012,0,6,0,1,0.278333,0.404583,0.376871,1745,532
05/08/2011,0,5,1,1,0.710833,0.630833,0.184696,3843,1023
12/04/2011,0,2,1,2,0.5025,0.739167,0.274879,1777,257
24/10/2012,0,3,1,1,0.5875,0.63625,0.0727792,6898,795
19/12/2011,0,1,1,1,0.276667,0.6375,0.172896,3143,260
20/02/2011,0,0,0,1,0.285217,0.407826,0.223235,1173,639
21/10/2011,0,5,1,1,0.4275,0.574167,0.221396,3628,676
05/02/2012,0,0,0,2,0.265833,0.687917,0.175996,2629,318
26/02/2011,0,6,0,1,0.2825,0.537917,0.186571,1545,424
21/08/2012,0,2,1,1,0.649167,0.67375,0.0727708,5925,1081
27/07/2011,0,3,1,1,0.775,0.402917,0.183463,3901,755
20/01/2011,0,4,1,2,0.261667,0.538333,0.195904,1844,83
09/01/2012,0,1,1,2,0.224167,0.701667,0.0989,2270,106
02/03/2011,0,3,1,1,0.335,0.449583,0.307833,1903,231
14/07/2011,0,4,1,1,0.680833,0.47625,0.240667,4196,888
23/03/2011,0,3,1,2,0.346957,0.839565,0.234261,1918,203
17/02/2012,0,5,1,1,0.343333,0.634583,0.205846,3805,349
19/05/2012,0,6,0,1,0.6,0.45625,0.083975,4884,3410
07/07/2011,0,4,1,1,0.75,0.65125,0.1592,3838,754
12/12/2012,0,3,1,2,0.2975,0.538333,0.162937,5009,310
03/03/2011,0,4,1,1,0.198333,0.318333,0.225754,1562,123
19/04/2011,0,2,1,2,0.505833,0.665833,0.157971,2795,409
02/08/2012,0,4,1,1,0.7525,0.659583,0.129354,6278,983
19/06/2012,0,2,1,1,0.688333,0.69,0.148017,5857,968
07/11/2012,0,3,1,2,0.295833,0.5475,0.304108,4709,326
04/01/2011,0,2,1,1,0.2,0.590435,0.160296,1454,108
26/10/2012,0,5,1,2,0.545833,0.807083,0.132467,6262,1182
28/09/2012,0,5,1,2,0.619167,0.69,0.164179,6370,1045
23/08/2012,0,4,1,1,0.695833,0.635833,0.0845958,6402,1363
22/06/2011,0,3,1,1,0.733333,0.7075,0.172262,3846,661
07/03/2011,0,1,1,1,0.261739,0.551304,0.341352,1628,244
12/12/2011,0,1,1,1,0.238333,0.670833,0.06345,3167,143
05/10/2011,0,3,1,1,0.538333,0.647917,0.17725,4267,559
18/01/2012,0,3,1,1,0.303333,0.443333,0.415429,3267,109
11/10/2012,0,4,1,1,0.435,0.463333,0.181596,6736,834
27/02/2011,0,0,0,1,0.343478,0.68,0.125248,1708,694
19/12/2012,0,3,1,1,0.3325,0.625417,0.184092,4934,333
15/09/2011,0,4,1,2,0.5775,0.709167,0.271146,3231,428
15/04/2011,1,5,0,1,0.446667,0.67125,0.226375,2484,642
13/08/2011,0,6,0,2,0.685833,0.729583,0.211454,2646,1504
04/09/2012,0,2,1,1,0.725833,0.755,0.236321,5997,867
03/08/2011,0,3,1,2,0.731667,0.6575,0.135583,3107,467
05/02/2011,0,6,0,2,0.233333,0.929167,0.161079,905,100
31/08/2011,0,3,1,1,0.656667,0.597917,0.0833333,4370,688
03/11/2012,0,6,0,2,0.343333,0.49125,0.270529,4109,1029
04/06/2011,0,6,0,1,0.635,0.45625,0.123142,3473,1869
16/02/2012,0,4,1,2,0.316667,0.752917,0.091425,2931,74
11/02/2011,0,5,1,1,0.189091,0.506364,0.10855,1597,149
17/01/2011,1,1,0,2,0.175833,0.5375,0.194017,883,117
24/06/2012,0,0,0,1,0.743333,0.479167,0.145525,4340,2551
05/07/2011,0,2,1,1,0.746667,0.590417,0.126258,3634,1031
29/12/2012,0,6,0,2,0.253333,0.752917,0.124383,1182,159
16/12/2011,0,5,1,2,0.375,0.500417,0.260575,3399,178
01/01/2011,0,6,0,2,0.344167,0.805833,0.160446,654,331
18/04/2012,0,3,1,2,0.463333,0.569167,0.167912,4020,347
15/12/2012,0,6,0,1,0.324167,0.650417,0.10635,4280,767
15/03/2012,0,4,1,1,0.5575,0.579583,0.149883,5187,1005
16/03/2011,0,3,1,2,0.365217,0.776522,0.203117,1871,321
06/12/2011,0,2,1,3,0.4625,0.949583,0.232583,2468,126
11/02/2012,0,6,0,3,0.224167,0.73125,0.289796,1977,192
08/03/2011,0,2,1,1,0.2925,0.420833,0.12065,1817,316
28/12/2011,0,3,1,1,0.29913,0.503913,0.293961,2047,255
28/04/2011,0,4,1,2,0.6175,0.700833,0.320908,3489,569
14/10/2011,0,5,1,2,0.550833,0.71625,0.223883,3115,529
22/11/2012,1,4,0,1,0.34,0.580417,0.0528708,1470,955
14/12/2011,0,3,1,2,0.3175,0.66375,0.0609583,3562,178
29/05/2011,0,0,0,1,0.6675,0.81875,0.213938,2433,2355
31/01/2012,0,2,1,1,0.39,0.416667,0.261817,4185,324
23/06/2012,0,6,0,1,0.731667,0.534583,0.179721,4801,2657
15/07/2011,0,5,1,1,0.663333,0.59125,0.182833,4220,1318
03/03/2012,0,6,0,2,0.414167,0.62125,0.161079,3110,956
07/08/2012,0,2,1,2,0.735833,0.70375,0.116908,5995,1278
26/03/2011,0,6,0,1,0.265833,0.394167,0.209571,1515,981
02/02/2012,0,4,1,2,0.399167,0.672917,0.187187,3571,190
29/07/2012,0,0,0,1,0.721667,0.62375,0.170396,4444,2153
27/03/2011,0,0,0,2,0.253043,0.493913,0.1843,1221,472
02/10/2011,0,0,0,2,0.356667,0.791667,0.222013,2302,616
08/12/2011,0,4,1,1,0.265833,0.58,0.240058,3172,150
14/01/2011,0,5,1,1,0.16087,0.537826,0.126548,1367,54
05/03/2012,0,1,1,1,0.243333,0.50625,0.228858,3130,203
08/10/2012,1,1,0,2,0.383333,0.709583,0.189679,4604,874
12/08/2011,0,5,1,1,0.708333,0.415,0.125621,3854,1051
03/04/2011,0,0,0,1,0.378333,0.48,0.182213,1598,1651
23/03/2012,0,5,1,2,0.601667,0.694167,0.1163,5893,2469
24/07/2012,0,2,1,1,0.750833,0.655,0.211454,6452,1140
26/09/2011,0,1,1,2,0.649167,0.848333,0.1107,3946,684
07/08/2011,0,0,0,1,0.7425,0.752917,0.201487,2487,1298
13/03/2012,0,2,1,1,0.565,0.6175,0.23695,5085,762
29/10/2011,0,6,0,3,0.254167,0.8825,0.351371,570,57
06/09/2012,0,4,1,2,0.696667,0.810417,0.142421,5592,611
13/05/2011,0,5,1,2,0.5125,0.863333,0.179725,3413,692
10/12/2011,0,6,0,1,0.275,0.5075,0.233221,2688,502
17/12/2011,0,6,0,2,0.258333,0.560833,0.243167,2464,275
26/11/2012,0,1,1,1,0.313333,0.535417,0.04665,4750,337
06/11/2012,0,2,1,1,0.280833,0.567083,0.173513,5220,466
14/12/2012,0,5,1,1,0.281667,0.642917,0.131229,5182,429
10/02/2011,0,4,1,1,0.144348,0.437391,0.221935,1491,47
08/03/2012,0,4,1,1,0.5275,0.5675,0.441563,4896,486
10/03/2011,0,4,1,3,0.389091,0,0.261877,577,46
18/03/2011,0,5,1,1,0.54,0.525217,0.231017,2355,884
28/10/2012,0,0,0,2,0.4775,0.694583,0.398008,3461,998
17/03/2012,0,6,0,2,0.514167,0.755833,0.110704,4681,3155
20/05/2011,0,5,1,1,0.536667,0.719583,0.125013,4008,909
12/10/2012,0,5,1,1,0.4375,0.539167,0.235092,6222,1060
25/07/2012,0,3,1,1,0.724167,0.45,0.1648,6790,1383
29/04/2011,0,5,1,1,0.51,0.457083,0.240063,3717,878
23/10/2012,0,2,1,1,0.544167,0.641667,0.0945458,6625,841
02/03/2012,0,5,1,2,0.353333,0.657083,0.144904,2948,246
04/02/2011,0,5,1,2,0.211304,0.585217,0.127839,1620,88
21/07/2011,0,4,1,2,0.815,0.69125,0.222021,3152,632
07/06/2012,0,4,1,1,0.6025,0.567083,0.15735,6456,1038
25/12/2012,1,2,0,2,0.291304,0.734783,0.168726,573,440
10/11/2012,0,6,0,1,0.389167,0.645417,0.0578458,4446,2090
09/07/2012,0,1,1,2,0.710833,0.683333,0.180975,5571,998
30/04/2011,0,6,0,1,0.4725,0.503333,0.235075,3347,1965
24/03/2011,0,4,1,2,0.285,0.805833,0.243787,1699,166
01/12/2011,0,4,1,1,0.3125,0.524583,0.220158,3545,182
11/01/2012,0,3,1,2,0.274167,0.8475,0.131221,2085,92
01/07/2011,0,5,1,1,0.7225,0.39625,0.102608,4116,1246
18/04/2011,0,1,1,1,0.5125,0.5425,0.163567,2760,669
18/01/2011,0,2,1,2,0.216667,0.861667,0.146775,674,9
19/01/2012,0,4,1,1,0.19,0.4975,0.220158,3162,130
15/11/2011,0,2,1,2,0.53,0.68875,0.199633,3746,449
13/02/2012,0,1,1,1,0.2225,0.41125,0.167283,3328,94
22/07/2011,0,5,1,1,0.848333,0.580417,0.1331,2825,562
12/04/2012,0,4,1,1,0.3975,0.46625,0.290429,4746,663
20/12/2011,0,2,1,2,0.385833,0.595417,0.0615708,3534,216
22/01/2012,0,0,0,2,0.1625,0.79625,0.199638,1781,196
15/02/2011,0,2,1,1,0.266087,0.314348,0.291374,1675,140
18/10/2012,0,4,1,2,0.5225,0.728333,0.236937,6501,1008
09/07/2011,0,6,0,1,0.733333,0.609167,0.167912,3348,1988
15/01/2012,0,0,0,1,0.166667,0.419167,0.251258,2027,284
12/01/2011,0,3,1,1,0.172727,0.599545,0.304627,1137,25
30/03/2011,0,3,1,2,0.3,0.646667,0.172888,1368,168
03/06/2012,0,0,0,1,0.6025,0.493333,0.184087,5147,2494
05/06/2012,0,2,1,2,0.540833,0.613333,0.209575,6033,968
28/05/2011,0,6,0,1,0.655833,0.729583,0.230092,2757,2001
17/04/2012,0,2,1,1,0.608333,0.390417,0.273629,5702,989
27/09/2012,0,4,1,2,0.65,0.690833,0.134342,6642,751
28/11/2011,0,1,1,1,0.503478,0.743043,0.142122,3614,253
01/10/2011,0,6,0,2,0.41,0.75375,0.292296,1949,480
24/08/2012,0,5,1,2,0.7025,0.615,0.0721458,6257,1325
27/08/2012,0,1,1,1,0.703333,0.730417,0.128733,5928,989
16/11/2012,0,5,1,1,0.345,0.524583,0.171025,5214,484
23/06/2011,0,4,1,2,0.728333,0.703333,0.238804,4044,746
02/05/2011,0,1,1,2,0.549167,0.73,0.183454,3554,847
19/02/2011,0,6,0,1,0.399167,0.187917,0.507463,1103,532
01/02/2011,0,2,1,2,0.192174,0.829565,0.053213,1313,47
08/08/2012,0,3,1,2,0.75,0.672917,0.1107,6271,1263
03/09/2011,0,6,0,1,0.669167,0.716667,0.185325,2549,1935
02/01/2012,1,1,0,1,0.273043,0.381304,0.329665,1707,244
08/02/2012,0,3,1,2,0.256667,0.722917,0.133721,2693,109
05/04/2012,0,4,1,1,0.435,0.374167,0.219529,5265,1192
29/10/2012,0,1,1,3,0.44,0.88,0.3582,20,2
13/01/2012,0,5,1,1,0.274167,0.5075,0.378108,3040,174
27/04/2011,0,3,1,2,0.62,0.835417,0.3122,3325,547
25/03/2012,0,0,0,2,0.4375,0.880833,0.220775,3464,1532
21/06/2012,0,4,1,1,0.805833,0.567917,0.118787,5127,778
15/06/2012,0,5,1,1,0.639167,0.589583,0.176617,6102,1563
06/04/2011,0,3,1,1,0.390833,0.470833,0.263063,2395,413
31/08/2012,0,5,1,1,0.764167,0.5875,0.168533,5917,1433
02/12/2011,0,5,1,1,0.314167,0.625833,0.100754,3672,268
27/10/2011,0,4,1,2,0.47,0.812917,0.197763,2419,240
11/06/2012,0,1,1,2,0.720833,0.587917,0.207713,5647,1017
20/09/2011,0,2,1,2,0.561667,0.88125,0.134954,3203,438
26/11/2011,0,6,0,1,0.375833,0.681667,0.0684208,1819,1249
04/03/2011,0,5,1,2,0.261667,0.610417,0.203346,1730,214
30/01/2012,0,1,1,1,0.269167,0.400833,0.215792,3498,126
13/10/2012,0,6,0,1,0.393333,0.494583,0.146142,4857,2252
02/05/2012,0,3,1,1,0.564167,0.797083,0.138058,5502,667
11/03/2012,0,0,0,1,0.361739,0.476957,0.222587,3253,1658
25/06/2012,0,1,1,1,0.715833,0.504167,0.300383,5640,1139
13/10/2011,0,4,1,2,0.589167,0.896667,0.141787,2623,290
16/05/2011,0,1,1,1,0.5775,0.787917,0.126871,3185,773
19/03/2012,0,1,1,1,0.545,0.72875,0.162317,5171,982
02/10/2012,0,2,1,3,0.590833,0.871667,0.104475,4324,315
09/11/2011,0,3,1,1,0.4,0.758333,0.0621958,3804,305
21/10/2012,0,0,0,1,0.464167,0.51,0.166054,4692,2132
21/01/2012,0,6,0,2,0.173333,0.83125,0.222642,1234,67
01/06/2012,0,5,1,2,0.654167,0.755417,0.237563,3594,533
26/10/2011,0,3,1,2,0.484167,0.720417,0.148642,3490,404
01/04/2011,0,5,1,2,0.3,0.68625,0.258708,1920,307
06/09/2011,0,2,1,3,0.54,0.886957,0.343943,2506,204
16/08/2012,0,4,1,1,0.719167,0.519167,0.141796,6267,1338
30/01/2011,0,0,0,1,0.216522,0.722174,0.0739826,956,140
31/10/2012,0,3,1,2,0.3575,0.666667,0.166667,5147,419
13/09/2011,0,2,1,1,0.650833,0.7125,0.141804,4062,701
21/12/2012,0,5,1,2,0.326667,0.556667,0.374383,3402,221
17/07/2012,0,2,1,1,0.818333,0.505833,0.114429,5865,921
30/11/2011,0,3,1,1,0.325,0.613333,0.271158,3425,188
08/11/2011,0,2,1,1,0.408333,0.721667,0.0690375,3829,376
01/12/2012,0,6,0,2,0.298333,0.806667,0.0597042,4240,951
29/04/2012,0,0,0,1,0.458333,0.587083,0.116908,4075,2229
13/07/2012,0,5,1,2,0.731667,0.485833,0.08085,5988,1511
30/12/2011,0,5,1,1,0.311667,0.636667,0.134337,2508,491
10/06/2011,0,5,1,1,0.755,0.605,0.140554,3771,815
19/08/2012,0,0,0,2,0.635833,0.711667,0.08645,3341,1208
12/07/2012,0,4,1,1,0.715833,0.529583,0.146775,6414,1032
28/11/2012,0,3,1,1,0.296667,0.50625,0.210821,5062,198
28/08/2012,0,2,1,1,0.728333,0.62,0.190925,6105,935
14/04/2011,0,4,1,1,0.4675,0.540417,0.1107,2738,529
02/11/2011,0,3,1,1,0.3775,0.71875,0.0820917,3816,370
